Model,MAE,MSE,R2
LinearRegression,80879.09723488029,10089009300.892078,0.9179971706834487
RobustRegression,200714.83530019585,62803061981.468155,0.48954068544988294
RidgeRegression,80882.08068490674,10089716572.554762,0.9179914220241199
LassoRegression,80879.15942634382,10089021397.171637,0.9179970723656538
ElasticNet,100124.30560527806,15561491345.783445,0.8735171828391082
PolynomialRegression,80886.6707789008,10099267883.857042,0.9179137895701186
SGDRegressor,1.6186281702754552e+18,2.668305304865952e+36,-2.1687816707634894e+25
ANN,200530.89781745675,62711759409.86364,0.4902827869756279
RandomForest,93970.94553951605,14347438604.068926,0.883384926716726
SVM,279212.7242489848,123219501896.69862,-0.001520315935481742
LGBM,87681.38040878708,12313469588.940966,0.8999168981926512
XGBoost,96076.29387955746,14912750470.898375,0.8787901076275872
KNN,203987.4662913469,63314173406.63843,0.48538640412155953
